HES
CHK
XON
NEM
CBX
MUR
MPC
KMI
KIE
OUNZ
TBAR
SGOL
IAU
GLD
SEA
IOIT
XTN
CBG
VLO
TSO
SE
PSX
XRT
IAK
TIP
LOMMX
VWELX
^GSPC
