1914,2,0,1,1,1
1915,1,2,1,1,1
1916,3,6,6.9,10.8,7.9
1917,12.5,18.9,18.5,19.5,17.4
1918,19.7,12.7,18,18.5,18
1919,17.9,17.6,15.2,13.1,14.6
1920,17,21.6,19.5,9.9,15.6
1921,-1.6,-10.8,-14.9,-12.1,-10.5
1922,-11.1,-7.7,-5.1,-4.6,-6.1
1923,-0.6,1.2,2.4,3.6,1.8
1924,3,0.6,-0.6,-0.6,0
1925,0,1.2,3.5,2.9,2.3
1926,3.5,4.1,-1.1,-0.6,1.1
1927,-2.2,-3.4,-1.1,-1.1,-1.7
1928,-1.1,-1.2,-1.2,-1.1,-1.7
1929,-1.2,-1.2,1.2,0.6,0
1930,0,0.6,-4,-4.6,-2.3
1931,-7,-8.8,-9,-9.7,-9
1932,-10.1,-10.3,-9.9,-10.7,-9.9
1933,-9.8,-9.4,-3.7,-0.8,-5.1
1934,2.3,5.6,2.3,2.3,3.1
1935,3,3.8,2.2,1.5,2.2
1936,1.5,-0.7,1.5,2.2,1.5
1937,2.2,4.4,4.3,4.3,3.6
1938,0.7,-0.7,-2.8,-4.1,-2.1
1939,-1.4,-2.8,-2.1,0,-1.4
1940,-0.7,1.4,1.4,0,0.7
1941,1.4,2.1,5,9.3,5
1942,11.3,12.6,11.6,9.2,10.9
1943,7.6,8.1,6.1,4.2,6.1
1944,3,0.6,1.7,1.7,1.7
1945,2.3,1.7,2.3,2.3,2.3
1946,2.2,3.4,9.4,14.9,8.3
1947,18.1,19,12.1,10.6,14.4
1948,10.2,8.7,9.9,6.1,8.1
1949,1.3,0.4,-2.9,-2.9,-1.2
1950,-2.1,-1.3,1.7,3.8,1.3
1951,8.1,9.3,7.5,6.5,7.9
1952,4.3,2.3,3.1,1.9,1.9
1953,0.4,0.8,0.4,1.1,0.8
1954,1.1,0.8,0.4,-0.7,0.7
1955,-0.7,-0.4,-0.4,0.4,-0.4
1956,0.4,0.7,2.2,2.2,1.5
1957,3,3.7,3.3,2.9,3.3
1958,3.6,3.6,2.5,2.1,2.8
1959,1.4,0.3,0.7,1.7,0.7
1960,1,1.7,1.4,1.4,1.7
1961,1.7,1,1.4,0.7,1
1962,0.7,1.3,1,1.3,1
1963,1.3,1,1.3,1.3,1.3
1964,1.6,1.3,1.3,1,1.3
1965,1,1.6,1.6,1.9,1.6
1966,1.9,2.9,2.8,3.8,2.9
1967,3.5,2.5,2.8,2.4,3.1
1968,3.6,3.9,4.5,4.7,4.2
1969,4.4,5.5,5.4,5.7,5.5
1970,6.2,6.1,6,5.6,5.7
1971,5.3,4.2,4.4,3.8,4.4
1972,3.3,3.5,2.9,3.4,3.2
1973,3.6,5.1,5.7,7.8,6.2
1974,9.4,10.1,11.5,12.1,11
1975,11.8,10.2,9.7,7.4,9.1
1976,6.7,6,5.4,5.5,5.8
1977,5.2,7,6.8,6.4,6.5
1978,6.8,6.5,7.7,8.9,7.6
1979,9.3,10.5,11.3,12.1,11.3
1980,13.9,14.7,13.1,12.8,13.5
1981,11.8,10,10.8,10.1,10.3
1982,8.4,6.5,6.4,5.1,6.2
1983,3.7,3.9,2.5,2.9,3.2
1984,4.2,4.6,4.2,4.3,4.3
1985,3.5,3.7,3.6,3.2,3.6
1986,3.9,1.6,1.6,1.5,1.9
1987,1.5,3.8,3.9,4.5,3.6
1988,4,3.9,4.1,4.2,4.1
1989,4.7,5.1,5,4.5,4.8
1990,5.2,4.7,4.8,6.3,5.4
1991,5.7,4.9,4.4,2.9,4.2
1992,2.6,3.2,3.2,3.2,3
1993,3.3,3.2,2.8,2.8,3
1994,2.5,2.4,2.8,2.6,2.6
1995,2.8,3.1,2.8,2.8,2.8
1996,2.7,2.9,3,3,3
1997,3,2.5,2.2,2.1,2.3
1998,1.6,1.4,1.7,1.5,1.6
1999,1.7,2.3,2.1,2.6,2.2
2000,2.7,3.1,3.7,3.4,3.4
2001,3.7,3.3,2.7,2.1,2.8
2002,1.1,1.6,1.5,2,1.6
2003,2.6,2.2,2.1,2,2.3
2004,1.9,2.3,3,3.2,2.7
2005,3,3.5,3.2,4.3,3.4
2006,4,3.5,4.1,1.3,3.2
2007,2.1,2.6,2.4,3.5,2.8
2008,4.3,3.9,5.6,3.7,3.8
2009,0,-0.7,-2.1,-0.2,-0.4
2010,2.6,2.2,1.2,1.2,1.6
2011,1.6,3.2,3.6,3.5,3.2
2012,2.9,2.3,1.4,2.2,2.1
2013,1.6,1.1,2,1,1.5
